strategy_name,total_configs,strong,weak,reject,avg_net_return,avg_win_rate,avg_robustness,avg_sqn,avg_oos_return,total_trades,pass_rate,verdict
rsi_extreme,60,1,0,0,0.059576,0.714286,0.987921,1.253881,0.029001,698,0.016667,HELPS
ny_breakout,30,0,0,2,-0.141949,0.200000,0.961976,-1.514814,-0.077477,278,0.000000,HURTS
london_breakout,30,0,0,2,-0.125185,0.250000,0.958358,-1.456310,-0.043986,403,0.000000,HURTS
prev_day_hl,45,0,6,12,-0.118827,0.341437,0.792230,-0.702358,-0.146316,976,0.133333,HURTS
ob_bos,120,0,0,20,-0.268376,0.272721,0.783874,-1.556679,-0.071235,1632,0.000000,HURTS
ema_cross,540,0,0,226,-0.229104,0.188041,0.683047,-2.122984,-0.094439,9919,0.000000,HURTS
macd_direction,30,0,6,24,-0.185883,0.324854,0.590321,-1.173686,-0.111348,2291,0.200000,HURTS
structure_filters,60,0,6,47,-0.197654,0.280350,0.522260,-2.764187,-0.064872,8273,0.100000,HURTS
pullback_ema,60,0,8,52,-0.122644,0.164394,0.507991,-1.815876,-0.070366,3220,0.133333,HURTS
bollinger_touch,30,4,9,17,0.079110,0.639098,0.485094,-0.012921,0.052660,941,0.433333,HELPS
session_opening_range,60,0,4,56,-0.105022,0.304932,0.438005,-0.867970,-0.077443,2693,0.066667,HURTS
ema_alignment,45,0,4,37,-0.071757,0.189312,0.430993,-1.245636,-0.057885,1151,0.088889,HURTS
vwap_deviation,30,0,0,0,,,,,,280,0.000000,NEUTRAL
